,0
799,5
800,4
801,3
802,4
803,5
804,4
805,4
806,4
807,0
808,2
809,2
810,3
811,5
812,5
813,1
814,5
815,2
816,4
817,1
818,4
819,2
820,4
821,4
822,1
823,4
824,5
825,5
826,1
827,4
828,5
829,1
830,5
831,5
832,1
833,5
834,2
835,5
836,2
837,1
838,3
839,5
840,2
841,5
842,5
843,4
844,4
845,5
846,5
847,5
848,1
849,4
850,1
851,5
852,4
853,4
854,4
855,0
856,4
857,5
858,4
859,4
860,5
861,1
862,0
863,4
864,5
865,1
866,4
867,4
868,5
869,5
870,1
871,1
872,1
873,4
874,4
875,5
876,4
877,5
878,4
879,1
880,3
881,4
882,1
883,1
884,4
885,4
886,1
887,5
888,5
889,1
890,5
891,4
892,4
893,4
894,5
895,4
896,1
897,5
898,4
899,5
900,1
901,5
902,1
903,1
904,5
905,4
906,5
907,2
908,4
909,4
910,5
911,4
912,4
913,5
914,4
915,4
916,5
917,1
918,4
919,5
920,1
921,1
922,5
923,5
924,1
925,1
926,1
927,1
928,5
929,1
930,3
931,5
932,1
933,1
934,3
935,3
936,3
937,5
938,5
939,5
940,4
941,5
942,1
943,1
944,5
945,4
946,1
947,3
948,5
949,1
950,1
951,1
952,5
953,5
954,5
955,4
956,5
957,5
958,5
959,4
960,1
961,4
962,5
963,1
964,1
965,1
966,4
967,0
968,5
969,5
970,5
971,0
972,1
973,5
974,3
975,4
976,4
977,5
978,5
979,2
980,2
981,3
982,1
983,4
984,2
985,5
986,2
987,2
988,4
989,1
990,3
991,5
992,5
993,1
994,0
995,5
996,0
997,4
998,5
999,2
1000,4
1001,3
1002,1
1003,5
1004,4
1005,1
1006,2
1007,0
1008,1
1009,5
1010,2
1011,2
1012,2
1013,4
1014,5
1015,4
1016,1
1017,0
1018,5
1019,4
1020,5
1021,1
1022,5
1023,4
1024,4
1025,3
1026,4
1027,4
1028,5
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,5
1036,5
1037,5
1038,5
1039,4
1040,4
1041,5
1042,4
1043,4
1044,4
1045,4
1046,4
1047,5
1048,4
1049,5
1050,5
1051,5
1052,4
1053,1
1054,4
1055,4
1056,5
1057,5
1058,4
1059,4
1060,5
1061,5
1062,4
1063,4
1064,4
1065,5
1066,1
1067,0
1068,1
1069,2
1070,1
1071,0
1072,1
1073,0
1074,1
1075,1
1076,3
1077,5
1078,0
1079,4
1080,0
1081,0
1082,1
1083,6
1084,6
1085,5
1086,2
1087,0
1088,4
1089,5
1090,0
1091,3
1092,6
1093,1
1094,4
1095,1
1096,0
1097,0
1098,1
1099,4
1100,6
1101,0
1102,1
1103,3
1104,1
1105,0
1106,6
1107,1
1108,1
1109,0
1110,2
1111,2
1112,0
1113,2
1114,0
1115,4
1116,0
1117,5
1118,1
1119,0
1120,0
1121,0
1122,1
1123,4
1124,0
1125,0
1126,0
1127,4
1128,0
1129,2
1130,4
1131,0
1132,6
1133,1
1134,6
1135,2
1136,1
1137,1
1138,2
1139,2
1140,2
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,0
1148,5
1149,0
1150,2
1151,0
1152,1
1153,6
1154,4
1155,5
1156,1
1157,1
1158,1
1159,2
1160,3
1161,1
1162,5
1163,0
1164,3
1165,5
1166,4
1167,5
1168,5
1169,1
1170,3
1171,4
1172,0
1173,0
1174,3
1175,5
1176,5
1177,0
1178,4
1179,4
1180,0
1181,5
1182,4
1183,0
1184,4
1185,3
1186,0
1187,0
1188,0
1189,4
1190,0
1191,5
1192,2
1193,4
1194,6
1195,4
1196,1
1197,5
1198,4
1199,6
1200,1
1201,2
1202,5
1203,0
1204,0
1205,4
1206,5
1207,5
1208,5
1209,4
1210,5
1211,4
1212,5
1213,4
1214,1
1215,4
1216,0
1217,5
1218,5
1219,0
1220,0
1221,1
1222,5
1223,2
1224,4
1225,6
1226,5
1227,5
1228,0
1229,0
1230,5
1231,5
1232,5
1233,1
1234,0
1235,1
1236,4
1237,4
1238,4
1239,5
1240,5
1241,4
1242,5
1243,5
1244,4
1245,1
1246,4
1247,5
1248,4
1249,4
1250,5
1251,4
1252,0
1253,4
1254,1
1255,5
1256,4
1257,3
1258,1
1259,1
1260,1
1261,0
1262,4
1263,4
1264,5
1265,1
1266,1
1267,5
1268,4
1269,1
1270,1
1271,6
1272,0
1273,3
1274,1
1275,4
1276,5
1277,5
1278,1
1279,0
1280,5
1281,3
1282,3
1283,1
1284,4
1285,5
1286,4
1287,0
1288,5
1289,5
1290,5
1291,4
1292,1
1293,4
1294,3
1295,0
1296,2
1297,0
1298,5
1299,0
1300,0
1301,4
1302,5
1303,0
1304,0
1305,5
1306,5
1307,5
1308,6
1309,4
1310,5
1311,5
1312,3
1313,6
1314,1
1315,5
1316,6
1317,6
1318,4
1319,0
1320,5
1321,5
1322,1
1323,4
1324,4
1325,4
1326,5
1327,3
1328,5
1329,6
1330,6
1331,5
1332,5
1333,6
1334,5
1335,5
1336,1
1337,5
1338,5
1339,4
1340,1
1341,1
1342,6
1343,5
1344,4
1345,4
1346,4
1347,4
1348,4
1349,5
1350,5
1351,6
1352,3
1353,6
1354,4
1355,5
1356,5
1357,4
1358,5
1359,4
1360,0
1361,0
1362,4
1363,5
1364,4
1365,3
1366,1
1367,5
1368,1
1369,0
1370,1
1371,5
1372,5
1373,5
1374,1
1375,1
1376,5
1377,5
1378,4
1379,4
1380,5
1381,1
1382,4
1383,4
1384,4
1385,4
1386,1
1387,5
1388,1
1389,6
1390,5
1391,4
1392,6
1393,4
1394,4
1395,5
1396,5
1397,4
1398,5
1399,5
1400,4
1401,5
1402,5
1403,5
1404,4
1405,4
1406,4
1407,4
1408,1
1409,1
1410,3
1411,3
1412,5
1413,5
1414,1
1415,1
1416,5
1417,5
1418,4
1419,5
1420,4
1421,1
1422,1
1423,4
1424,5
